iter	Passed	Remaining
0	180	35925
1	252	25044
2	309	20317
3	397	19496
4	460	17970
5	545	17651
6	618	17053
7	672	16135
8	728	15470
9	793	15077
10	855	14691
11	910	14268
12	953	13715
13	985	13090
14	1006	12415
15	1040	11968
16	1067	11490
17	1102	11142
18	1146	10923
19	1190	10710
20	1219	10396
21	1240	10036
22	1259	9690
23	1290	9465224	1317	9219225	1342	898626	13627	139127	13928	1430	8433
29	1452	8229
30	1467330	1542	8407
31	1601	8410
32	1662	8412
33	1734	8470
34	1774	8363
35	1827	8324
36	1892	8335
37	2011	8577
38	2070	8548
39	2151	8607
40	2241	8691
41	2285	8599
42	2329	8506
43	2379	8436
44	2416	8322
45	2455	8220
46	2504	8154
47	2545	8061
48	2580	7952
49	2619	7858
50	2695	7874
51	2725	7755
52	2773	7692
53	2815	7611
54	2891	7623
55	2951	7589
56	2998	7522
57	3071	7519
58	3093	7393
59	3165	7386
60	3201	7295
61	3244	7221
62	3318	7215
63	3397	7220
64	3516	7303
65	3543	7195
66	3585	7117
67	3658	7101
68	3718	7060
69	3772	7005
70	3835	6969
71	3912	6955
72	3954	6879
73	4058	6911
74	4117	6863
75	4148	6769
76	4203	6715
77	4248	6644
78	4279	6554
79	4309	6463
80	4333	6366
81	4374	6294
82	4457	6283
83	4477	6183
84	4504	6094
85	4548	6029
86	4586	5957
87	4612	5870
88	4660	5812
89	4678	5718
90	4721	5655
91	4769	5598
92	4834	5561
93	4931	5561
94	4973	5497
95	5023	5442
96	5074	5388
97	5134	5344
98	5179	5284
99	5210	5210
100	5229	5125
101	5236	5030
102	5280	4973
103	5312	4903
104	5360	4849
105	5414	4801
106	5473	4757
107	5530	4710
108	5581	4659
109	5669	4638
110	5703	4573
111	5742	4512
112	5758	4433
113	5784	4363
114	5847	4322
115	5898	4271
116	5929	4206
117	5974	4151
118	6050	4118
119	6090	4060
120	6138	4007
121	6159	3937
122	6214	3890
123	6263	3838
124	6317	3790
125	6353	3731
126	6425	3693
127	6450	3628
128	6495	3575
129	6539	3521
130	6561	3455
131	6629	3415
132	6676	3363
133	6719	3309
134	6770	3259
135	6823	3210
136	6856	3152
137	6936	3116
138	7022	3081
139	7104	3044
140	7150	2992
141	7190	2937
142	7246	2888
143	7278	2830
144	7317	2775
145	7349	2718
146	7372	2658
147	7394	2598
148	7438	2546
149	7454	2484
150	7495	2432
151	7524	2376
152	7566	2324
153	7590	2267
154	7615	2210
155	7658	2159
156	7692	2106
157	7744	2058
158	7803	2012
159	7830	1957
160	7848	1901
161	7878	1848
162	7918	1797
163	7939	1742
164	7970	1690
165	7987	1636
166	8007	1582
167	8030	1529
168	8054	1477
169	8077	1425
170	8097	1373
171	8113	1320
172	8131	1269
173	8151	1218
174	8180	1168
175	8210	1119
176	8224	1068
177	8239	1018
178	8251	968
179	8262	918
180	8271	868
181	8278	818
182	8285	769
183	8293	721
184	8299	672
185	8306	625
186	8313	577
187	8320	531
188	8326	484
189	8333	438
190	8340	393
191	8347	347
192	8354	303
193	8360	258
194	8367	214
195	8374	170
196	8380	127
197	8387	84
198	8394	42
199	8400	0
